domain,var,source_info,missing_rate,n_nonnull,year_min,year_max
CROPS,A_Maize,"Element=Area harvested, Item=Maize (corn)",0.18941798941798943,9192,2018,2023
CROPS,A_Rice,"Element=Area harvested, Item=Rice",0.3386243386243386,7500,2018,2023
CROPS,A_Soya,"Element=Area harvested, Item=Soya beans",0.44761904761904764,6264,2018,2023
CROPS,A_Wheat,"Element=Area harvested, Item=Wheat",0.38412698412698415,6984,2018,2023
CROPS,P_Maize,"Element=Production, Item=Maize (corn)",0.1873015873015873,9216,2018,2023
CROPS,P_Rice,"Element=Production, Item=Rice",0.3386243386243386,7500,2018,2023
CROPS,P_Soya,"Element=Production, Item=Soya beans",0.4444444444444444,6300,2018,2023
CROPS,P_Wheat,"Element=Production, Item=Wheat",0.38412698412698415,6984,2018,2023
CROPS,Y_Maize,"Element=Yield, Item=Maize (corn)",0.21798941798941798,8868,2018,2023
CROPS,Y_Rice,"Element=Yield, Item=Rice",0.43597883597883597,6396,2018,2023
CROPS,Y_Soya,"Element=Yield, Item=Soya beans",0.47724867724867726,5928,2018,2023
CROPS,Y_Wheat,"Element=Yield, Item=Wheat",0.3904761904761905,6912,2018,2023
GPV,GPV_Maize,Item=Maize (corn),0.24867724867724866,8520,2018,2023
GPV,GPV_Rice,Item=Rice,0.4582010582010582,6144,2018,2023
GPV,GPV_Soya,Item=Soya beans,0.5883597883597883,4668,2018,2023
GPV,GPV_Wheat,Item=Wheat,0.44126984126984126,6336,2018,2023
WDI,AG.CON.FERT.ZS,SeriesName=Fertilizer consumption (kilograms per hectare of arable land),0.1492063492063492,9648,2018,2023
WDI,AG.LND.AGRI.K2,SeriesName=Agricultural land (sq. km),0.2857142857142857,8100,2018,2022
WDI,AG.LND.AGRI.ZS,SeriesName=Agricultural land (% of land area),0.14497354497354498,9696,2018,2023
WDI,AG.LND.ARBL.HA,SeriesName=Arable land (hectares),0.2857142857142857,8100,2018,2022
